npm;cargo;Go;maven;pypi;rubygems
2330;7858;13322;8331;5117;4337
2280;7819;13178;8232;5071;4318
2168;7746;13153;8020;5063;4296
2020;7398;13100;7951;5060;4214
2002;7260;13082;7838;4958;4213
1894;6459;12735;7651;4949;4167
1820;6287;12363;7575;4934;4058
1820;6268;12140;7390;4831;4035
1811;6268;12104;7385;4769;3997
1758;6238;12088;7385;4761;3970
1730;6183;11909;7342;4729;3914
1577;6149;11868;7315;4717;3887
1566;6079;11683;7110;4659;3802
1563;6077;11411;7073;4636;3762
1488;6060;11201;7073;4615;3735
1440;5884;10972;6947;4565;3731
1425;5865;10874;6861;4461;3728
1343;5858;10781;6861;4418;3709
1301;5817;10657;6848;4361;3705
1298;5696;10577;6848;4349;3702
1261;5583;10563;6839;4345;3659
1210;5557;10423;6821;4145;3652
1209;5501;10397;6542;4131;3644
1201;5497;10126;6399;4063;3543
1173;5467;10123;6287;4028;3541
1158;5456;10067;6269;3905;3532
1095;5395;9910;6238;3899;3435
1088;5395;9883;6154;3895;3418
1084;5354;9814;6132;3871;3386
1039;5350;9761;5889;3822;3356
1017;5161;9724;5791;3815;3351
1014;5061;9676;5784;3808;3294
936;4999;9633;5627;3729;3244
931;4871;9596;5559;3683;3238
928;4822;9558;5438;3601;3177
924;4706;9546;5422;3589;3176
887;4617;9301;5422;3575;3163
879;4584;9104;5337;3516;3158
865;4575;9095;5248;3462;3082
831;4554;9086;5169;3442;3071
803;4549;9039;5168;3431;2968
799;4532;8924;5089;3426;2961
773;4459;8797;4985;3310;2941
752;4459;8609;4980;3303;2932
747;4437;8422;4902;3245;2930
744;4396;8250;4863;3206;2891
704;4363;8240;4826;3189;2890
703;4304;8151;4820;3145;2831
696;4274;8111;4800;3088;2805
656;4257;8098;4765;3045;2797
641;4244;8082;4760;2940;2794
635;4098;8033;4746;2906;2794
628;4082;8030;4742;2902;2747
582;4044;7991;4738;2900;2702
554;4001;7990;4735;2827;2686
552;3985;7942;4733;2807;2678
539;3958;7913;4722;2799;2675
538;3951;7911;4722;2777;2643
534;3911;7868;4695;2766;2633
502;3878;7804;4695;2753;2630
480;3866;7756;4525;2711;2618
479;3827;7682;4516;2683;2607
471;3809;7679;4498;2629;2590
465;3800;7661;4487;2624;2588
457;3781;7625;4449;2609;2530
453;3703;7621;4321;2577;2501
450;3681;7528;4293;2537;2494
444;3642;7491;4257;2500;2472
436;3642;7478;4196;2450;2431
